index	hemisphere	x_center	y_center	z_center	lobe	sublobe	power_network	yeo7_network	yeo17_network	SourceAtlasName	SourceAtlasIndex
1	L	-8.05	-45.62	38.36	Parietal	isthmuscingulate	DMN	7Networks_7	17Networks_16	russome-left	1
2	L	-17.27	-33.34	70.16	Frontal	superiorparietal	Somatomotor	7Networks_2	17Networks_3	russome-left	2
3	L	-53.26	-4.77	37.48	Frontal	precentral	Somatomotor	7Networks_2	17Networks_4	russome-left	3
4	L	-6.78	10.31	54.54	Frontal	superiorfrontal	Ventral_Attention	7Networks_4	17Networks_7	russome-left	4
5	L	-14.99	-95.83	17.0	Occipital	superiorparietal	Visual_2	7Networks_1	17Networks_1	russome-left	5
6	L	-20.53	-62.4	-4.08	Occipital	lingual	Visual_2	7Networks_1	17Networks_2	russome-left	6
7	L	-57.09	-46.72	-4.03	Temporal	middletemporal	Frontoparietal_1	7Networks_7	17Networks_17	russome-left	7
8	L	-37.41	-23.5	16.64	Parietal	insula	Somatomotor	7Networks_2	17Networks_4	russome-left	8
9	L	-32.99	8.88	-23.93	Temporal	temporalpole	Zero	7Networks_5	17Networks_9	russome-left	9
10	L	-4.95	-36.08	26.64	Parietal	isthmuscingulate	Medial_Parietal	7Networks_7	17Networks_11	russome-left	10
11	L	-5.24	-50.37	26.86	Parietal	precuneus	DMN	7Networks_7	17Networks_16	russome-left	11
12	L	-3.89	-53.16	15.79	Parietal	precuneus	Parieto_occipital	7Networks_7	17Networks_16	russome-left	12
13	L	-6.45	-55.78	9.08	Parietal	isthmuscingulate	Parieto_occipital	7Networks_7	17Networks_16	russome-left	13
14	L	-15.74	-59.0	3.93	Parietal	precuneus	Visual_2	7Networks_1	17Networks_2	russome-left	14
15	L	-6.95	-67.24	-1.94	Occipital	lingual	Visual_2	7Networks_1	17Networks_1	russome-left	15
16	L	-25.5	-37.03	-6.88	None	???	Zero	FreeSurfer_Defined_Medial_Wall	FreeSurfer_Defined_Medial_Wall	russome-left	16
17	L	-9.94	-38.6	-6.31	Parietal	isthmuscingulate	DMN	7Networks_1	17Networks_2	russome-left	17
18	L	-17.54	-40.36	-12.32	Occipital	parahippocampal	Parieto_occipital	7Networks_7	17Networks_15	russome-left	18
19	L	-5.9	-48.47	3.3	Parietal	isthmuscingulate	Parieto_occipital	7Networks_7	17Networks_15	russome-left	19
20	L	-4.85	-33.68	37.52	Parietal	posteriorcingulate	Frontoparietal_1	7Networks_7	17Networks_16	russome-left	20
21	L	-2.5	-24.69	40.81	Parietal	posteriorcingulate	Medial_Parietal	7Networks_7	17Networks_16	russome-left	21
22	L	-9.74	-15.19	43.75	Frontal	posteriorcingulate	Somatomotor	7Networks_7	17Networks_17	russome-left	22
23	L	-7.84	-5.77	41.65	Frontal	posteriorcingulate	Somatomotor	7Networks_2	17Networks_3	russome-left	23
24	L	-8.21	6.81	37.39	Frontal	superiorfrontal	Cingulo_opercular	7Networks_4	17Networks_7	russome-left	24
25	L	-6.86	28.72	55.46	Frontal	superiorfrontal	DMN	7Networks_7	17Networks_17	russome-left	25
26	L	-6.67	22.23	45.21	Frontal	superiorfrontal	Frontoparietal_1	7Networks_6	17Networks_12	russome-left	26
27	L	-6.9	29.78	36.82	Frontal	superiorfrontal	Frontoparietal_1	7Networks_6	17Networks_13	russome-left	27
28	L	-8.37	26.29	21.75	Frontal	caudalanteriorcingulate	Salience	7Networks_7	17Networks_16	russome-left	28
29	L	-6.65	32.13	12.24	Frontal	rostralanteriorcingulate	Salience	7Networks_7	17Networks_16	russome-left	29
30	L	-2.2	-16.85	37.32	Parietal	posteriorcingulate	Medial_Parietal	7Networks_7	17Networks_16	russome-left	30
31	L	-4.96	-20.89	32.11	Parietal	posteriorcingulate	Medial_Parietal	7Networks_6	17Networks_11	russome-left	31
32	L	-3.57	-1.42	31.56	Frontal	caudalanteriorcingulate	Zero	7Networks_4	17Networks_8	russome-left	32
33	L	-10.73	22.89	28.21	Frontal	superiorfrontal	Cingulo_opercular	7Networks_4	17Networks_8	russome-left	33
34	L	-4.55	14.36	30.81	Frontal	caudalanteriorcingulate	Cingulo_opercular	7Networks_4	17Networks_7	russome-left	34
